8131
Address, ETHER
('0x53163ec354C2F8c15d5c69ee9117DB676F5c91b6', Decimal('62204.829770473606981574'))
('0x216c403d3f806D75Fe1cc43e3ECDf104140da161', Decimal('61901.792150945171656521'))
('0x7A4d58c679fFd06C28A2CE047F5133f7FAc2E261', Decimal('61838.044037792'))
('0xb4a3D0F169a7AD418952E14359F014CB50A7f500', Decimal('60373.40615558649680702'))
('0x466DA3300A7886cbF302606aa24f4452D500b517', Decimal('60295.5025458347048887'))
('0x257853767d32Cc1742d496606f26f1B4B3C1615E', Decimal('60275.07046639330726932'))
('0xC49A70fC13415e72D71D36D57E020a6046fbdCAf', Decimal('60076.20683313366818108'))
('0x1481b453dfD4b2404B71241c4D5aD6c7899B5a7D', Decimal('59899.994'))
('0xA54EE4A7ab23068529b7Fec588Ec3959E384a816', Decimal('59815.084784227999846702'))
('0x3fC764303E22A991Ff6049Cd4912908633F2FD63', Decimal('59099.601563822639362216'))
('0x2cB0C3d0091Fe68ddc3Aa35762b18B96193Dd1a8', Decimal('58379.911357526309512862'))
('0x7a5d5B58eBC81fA3Ed776535638A6463a9517CbF', Decimal('57849.7569105669176885'))
('0xb0325f6E67BE0584658ADebB11De5521b8f55b3C', Decimal('57542.260305431316913'))
('0xF7b7f4aDCB285fEdaF5729D04CF7c6b69608AEf9', Decimal('56969.344376070129119552'))
('0x1Cc5778Ad2DaE5b3B603a8Ef985B23f726536c4D', Decimal('56559.432910559431154267'))
('0xC28C6f2182B6c9a1c7E166CDedd7C82945cf1670', Decimal('56042.602331266126623'))
('0xDfe49FA30eA5435854FE0CC494586E7b0fE05DFF', Decimal('55715.090296997877672132'))
('0x42E3bB4D54759954aaA8Edc4351484595974bA79', Decimal('54993.73306385668788048'))
('0xd03C25603a5e5672c501240B6e6f02013C385f23', Decimal('54753.608497503924119'))
('0x5EBb88102227eF8aA716275f96052C06ff230474', Decimal('54675.908692458378384372'))
('0x5f9a6B570187F84920bD0aff2AD9be14aE934c89', Decimal('54428.0323748'))
('0x0D85c64770083DA598578B8020CD28b59FB7a142', Decimal('54250.782530488'))
('0x6aEd6158670dc893dd5f013A283e9c7C55c976f4', Decimal('53728.9288316989851919'))
('0xE4eF19b88bC658A898240C9B9e260D1649A7cBDb', Decimal('53297.53836'))
('0x00633BdCdCa8B218643c8A34A7358CC6529F31af', Decimal('53146.39257667005506906'))
('0x4acfC6E7B831c5e13194eeBBfd306caCdFF2f749', Decimal('53014.79823224285629'))
('0x142333Eb1f508485C9Bd2e2367CF21DcB1Ef55B2', Decimal('52822.490696293161863'))
('0x177e932cD1348c55E3D99717C576536f35dA1CB9', Decimal('52582.387574809575664'))
('0xd2D269c94D90777ce5c102A8123b7c467845330E', Decimal('52395.534059171713918'))
('0x9476D6Fee87Ca8a9b3578b485B21eA1FD1418BeD', Decimal('52037.990689582451598552'))
('0x076400D4746a18a542cfe2c6847043016c334362', Decimal('51058.21514740659758585'))
('0x526511e177E2fD05bAEBcE43282651c7DB5078aD', Decimal('50868.75855401306844'))
('0xc720f028Fc55b1C7189C80d310b732Ff01670798', Decimal('50781.237749021888665'))
('0x95496a147B68465Da0B457f804dc7Ac84D3DA1Ed', Decimal('50121.5223953334913212'))
('0x9d972Ae487D71cFa680cB5dcbEAb1482420f8162', Decimal('50007.940674869'))
('0x8C5900667f206DC27E0B8796229Bb4948BA1EC34', Decimal('49919.57525191344901114'))
('0x688D547fFdfF041369CFc0c6B611e6741F2D4b49', Decimal('49804.2186386'))
('0xaa010c8660cDd709901B507E18fc8FB90352FDdB', Decimal('49711.316434857800841'))
('0x6dB094de92036c325047754c3Bb728f8F0d64857', Decimal('49014.6934807363451804'))
('0xDFc05Cf739c00D399EC3bf53b8bbc99E72A3b305', Decimal('48239.84823354660089874'))
('0x5dAFd14E446f00Be6B2bbC7272Df254d7C06D1d1', Decimal('48147.035243677636558'))
('0x3Fe8b83F6b0a14145FA0051Cde27Ca4141e292DF', Decimal('47626.0749458251591671'))
('0xF544AC220bb918468A61ede58717b20472B518e0', Decimal('47494.040212152428116974'))
('0x6738001581C6ac28f7B05bfca3348caFB05Ef289', Decimal('47488.017193984204522152'))
('0x5297A71c5528fC0d4A7f5Fc043ab220CCB7ef5Dc', Decimal('47353.02661450216882'))
('0xAfe08820024D13208748aeb9e9Bc7C322173d568', Decimal('47314.920145793343800552'))
('0x2BA4CEFa0495913113701224981b38E5d7330e35', Decimal('47236.3797044'))
('0x06A7F2d6465d914acddD4e87c9975064CF8d5B5A', Decimal('46799.55700206387484'))
('0x15Fc2a50e857C592821C02309b2cBbc5d91A2c8f', Decimal('46701.5263046588312044'))
('0x2C5BAa41707AB0554839182f58F6cced2f54A50e', Decimal('46649.732062284487079'))
('0x529460291e170c81d1eECA34c6f1Bf09bF5C5967', Decimal('46636.511407621391078'))
('0xAfEF7D07aCCB6b8468942926DdD6B774027F4E3A', Decimal('45706.868897037283092'))
('0x75ED70a6499Bc7c90B44d3de34752B9c943CAbCd', Decimal('45683.82999087'))
('0xF361761483d19f24603102EE4a99EEF7A7c2bB2C', Decimal('45327.168715276277172'))
('0xf9faF202779860bf81F976a771928524d40A6DB9', Decimal('45172.53599315997134258'))
('0x305Dde3E3DEC96EBAf535644d69424624835a48b', Decimal('44938.4698661703'))
('0x5f25c21e1e1f4c9418d2249312EFE324A7f0517D', Decimal('44908.714996319356169424'))
('0x87045b7BAdAc9c2dA19f5B0EE2bCeA943A786644', Decimal('44662.068431833036'))
('0x921f74982C210362930c376FD5d15a1223a93ADB', Decimal('44526.856663724'))
('0x3342aC36881BdE94af4822ED6664eDe193be7deF', Decimal('44000.99958'))
('0x371a04e3bF805232815B27aB5EE6520bFCfb9983', Decimal('43999.046203071013062401'))
('0x727dfD5d4c61417fc87445d524F37f15447c1152', Decimal('43917.393473518'))
('0xd081099126AEd577cb585c94DeFfe97821105E91', Decimal('43867.654524'))
('0x57250bc134AD2aE9B100D34da6e59Cd135DA3cDd', Decimal('43800.422506006777848'))
('0xb95A789471cF5Eae1d2BF9292b58F51471332521', Decimal('43783.476612780627288131'))
('0x9a9C2D3DDA16a356Cc50537CF99B4b6D0fE48F5E', Decimal('43044.367967909026241'))
('0x9bA76e7145a35782736F439606611ab76456dC1d', Decimal('42688.802179959239668232'))
('0xaC5047B3CBe6550dB650aF21B0D075dEb2C1A101', Decimal('42581.473367353115083'))
('0xca97fc8CBAeDCc04D96F382611f4Ed0696531dFe', Decimal('42522.98283321078197'))
('0x9d5f9FCEC339D38C81B544f657b8d62468D4B02f', Decimal('42076.753901878'))
('0xA98A9B50E4F2D162C58DE606f310FB866582965C', Decimal('41360.6753455352430189'))
('0xa97dd8fC8f8384a6E399622F2Bf229541DCf9763', Decimal('41062.4931545754214494'))
('0x872370Ef395B3FCbFC390321DeF9aB1Ccc8dD3E6', Decimal('40605.781261465195785'))
('0xaA3653983c3B52E30C4bA5e0fF7d0c4e21f69739', Decimal('40416.436977523959915887'))
('0x43106116ED06c534Be0395C4aFcd9a1871dE3Ec1', Decimal('40194.644548866'))
('0xfd85A9a40dcC34ADfF6b645fC937925703B60a22', Decimal('40147.39250894312586'))
('0x8f6D42623c14FEf11bF4b89f2881b576aB1C62c5', Decimal('40000.951937106'))
('0x7739aD2D1BF1abC89BEd962d3abAee3D55a89223', Decimal('40000.1'))
('0xF339B5307C4a20D856F10B8589a02d7676A1A26F', Decimal('39318.996'))
('0x89eD4A986892f7Ea4260b26A35f95521b7eb7858', Decimal('37416.588392205'))
('0x005E534F5745c794bD183D1f1F09166026753447', Decimal('37245.23612659700005665'))
('0x9e9231406ac346fAE1Ed904a7a026E732843a8a6', Decimal('36625.118558183'))
('0x21774A5a77dc60699bC1F0Ddc2c35C8267c04FB7', Decimal('36491.260861848140251'))
('0x8Ba9530F74Ec6e3D58Eed21d496DE5b75698Ed22', Decimal('36048.3475040745982919'))
('0x0fD1702Ac67b04d3a595173574D46042851A55a0', Decimal('35275.703318275'))
('0xE3696bD9AEeC0229Bb9C98c9Cc7220Ce37852887', Decimal('35261.962638871479968221'))
('0xf5d3b440CFC937f4CD7809960bb38f3004E047dD', Decimal('35233.996'))
('0x8f55cD7BC3c491F7E5aAad308b857263d3B58Fb7', Decimal('35159.1324653128549201'))
('0xa9a8f0F4eDbE55307BEE0F1d63384369ea93CC36', Decimal('33327.246010733'))
('0xC30317F9b84c654Ab443458e0a6Db0D60DA026cF', Decimal('32877.70997919267180856'))
('0x4e8B53bF3C41DE02bE44aF7b8E7b0d97e5041687', Decimal('32051.4462328'))
('0x4309698c8E3a27A2727b219A106c4c1d90Cb88d2', Decimal('31416.50801381'))
('0x3A2cdd694f7A6eFa54B97645A022A738f76FC574', Decimal('31373.5483414864174'))
('0x96D35D3A4f45C62b170aba125Cf2Fa2c84E767F1', Decimal('31361.3052067867454063'))
('0xA9EA41B0627A65141dAf577Dc3C2667eC69c7Fb3', Decimal('30644.399584507854545986'))
('0xce5cD2f6a1A11c99FD9Cd46482A53c57781081fC', Decimal('30000.996'))
('0xD58eDb5FedF8Ee160bd4BE3C9cd9efF6DD5defaD', Decimal('29998.998'))
('0xffe8225bD3e4013bc996722baCFD77Ce47831fFa', Decimal('29608.999847216'))
('0xcc105eF2C9dCeE21C6dcc1c3066BF007DDc7a8dA', Decimal('29327.42451419'))
('0xA3af3845052c07500B7f70f19A1024646e74ac49', Decimal('29000.996'))
('0x3c50D97912c669118A5924c0F388fC148379ED27', Decimal('28501.641033004'))
('0xfD8b94A2ADdC31326bB3230ca5c609530A85bFc0', Decimal('27507.20216382467380707'))
('0xD30338c24e0492D3335558441c55fdFF338D253b', Decimal('27356'))
('0x247884b01EcfA39c7D3BAcf2De00eb11E2b0cC9B', Decimal('27352.003639890092336334'))
('0x9058566bAD8da7b8F9FC1fedBe7A38cA91FeE6e4', Decimal('27155.427486422065374682'))
('0x2e5718cF82Edaa22C89C57FDc58aaEba1b89d8Fd', Decimal('26926.373391243355792'))
('0xC251630aa78d1A6ba79cb2D690f2291762550661', Decimal('26882.081760587'))
('0xED9b241bbDA542Cd934196d8F13cfEF67A2F6a26', Decimal('26761.0613603128886569'))
('0x734D673A2de067784a26eFEE03aB91fe7d24DF6f', Decimal('26753.8906138009142912'))
('0x1cCecB5c8F61616ca0Bdb72839E1bb8C2543E61f', Decimal('26276.00916053'))
('0xffF1951B77Dd8F526Dd4056B25c5D8bc9FC91c61', Decimal('25491.9075172'))
('0xF8c6a558c3441DD9EcB3d46171b3efa04e38C652', Decimal('25105.1130442'))
('0x955758D3beB70e8E0C433e18Ac1bBB7bA928B6Dd', Decimal('25096.08358858742105'))
('0x7a72dd23911390501F0Ef72E36b50e8FF0eea79E', Decimal('24916.399035915'))
('0x55f8e4F9f814aCD5fF98298490Ea4b82879782af', Decimal('24661.9791'))
('0x7C4a4cBB0b9e8bd0792Fc5ba2bC9660f1fcbFD85', Decimal('24604.263752251'))
('0xce0f0616c63874c0203200865F84625eD1428018', Decimal('24549.110873'))
('0x6D5bf8D3510E586637c3f45D2E3dfb2b93a8057d', Decimal('24468.644521'))
('0x0CeC4e89C3c30Ba8dA46DC2855e549e08642BDE2', Decimal('24447.5685686'))
('0xA933b1F83407F178a5410EAd9eEb98132A04d24E', Decimal('24270.2853817716236966'))
('0xd0652556123940Fe99E74DC89491E30f0D7Eee9e', Decimal('23994.199796151'))
('0x32D943E304772e3B8Fd28B1B81418703BF8afA4E', Decimal('23389.846676608'))
('0x39dd13293302C2aDE758212B6EC299AFA12C970F', Decimal('23282.9289285647552015'))
('0xef0cDb265af06D6C9e41393FB0F7ea52BD878EDB', Decimal('23173.594248214'))
('0x4B635B1fd350a5866823A12F5D1e5D19f1b07a76', Decimal('22803.5111338237930189'))
('0x018CaEBEbBBb9748a3822FEd424710e71b9c5554', Decimal('22712.494588701'))
('0x2C15dBdBA0D3925daA1b4B8C68b2a2ab39938CaA', Decimal('22508.289559'))
('0x08C754822115d52c962FCAF2E2b2333E800E922b', Decimal('22333.876827573'))
('0x848591D64cF9BB19ebDd97C62BB9b6B65D541De8', Decimal('22088.472276468998833'))
('0x00899a9cDC0D7C8e20643F2Aca894f858CDf5F4A', Decimal('21980.328588534'))
('0x8d8929cF921DbF09a171CA75b54BC54ED6D01B21', Decimal('21756.83087723369116691'))
('0xB036d89dfF3540bCA9A5737294420D7191BC9F44', Decimal('21723.7048174'))
('0xa35e7db77307cD76940714e5761B762496949f4B', Decimal('21656.864313577000517'))
('0x69d29b644fbD7781b6644cFf4C991fFB647e717e', Decimal('21623.693303479272742274'))
('0x9b13b8CfBbE15387D816ba4c845fF10615378204', Decimal('21224.9070845715262782'))
('0x401FB191329c44f97D7e70b7F00f14443e85f4C0', Decimal('21187.249914264'))
('0x6437f8c37B35c4E0e3B200Edf0F54f9b7c7e2FB0', Decimal('21159.70233522078075118'))
('0x9525d741511aAb95d7c6d6b2310221A488c22519', Decimal('20744.7366516'))
('0x4D3d4652b6Dfa5b18820EE273557eeb64138513c', Decimal('20663.941320371'))
('0x86A3064DB863C53378da47C1B72b039b848D4C7e', Decimal('20399.949717639'))
('0x04E6064C430502A6D3D8356003d79bA7c2A015FF', Decimal('20379.674650635'))
('0xB7A997f70854a3c0c2Ff938a034Cb769e2E2dF7e', Decimal('20330.998782259834128412'))
('0x5c8eB0CE5bC58A9b7e66348498e1d429051269E5', Decimal('20138.329002720014258434'))
('0xf036e40D38c18996465E01EdE5eDCE1e3105a4F5', Decimal('20097.643462993'))
('0xfc910a74dcfA3581376cD0c7dF401CFDB8f52b20', Decimal('20075.02972816'))
('0x12F3ecDae8d4c62be7a4Ec80C1e91a49e89Ffcf9', Decimal('20056.303002559421112'))
('0x32Be753C60b514F85bDfba3164ac9d2fB31bec02', Decimal('20027.9916'))
('0x7eB9568D3EcC6a46ccD72f56b46ED547dE2235E8', Decimal('20000'))
('0x0A6447cde2bA9A72ba377AA754f543A68EC968D1', Decimal('19753.764752309351867858'))
('0x9945D8b191363b97a46cb5B6778588248C12bc3b', Decimal('19729.809028'))
('0x0bD791c186fD83bDc2B56B1b766167f4DeAE9d33', Decimal('19391.91242437977704689'))
('0xcd4370CCf7F0d66b3E92F4559Bd267842A9B418F', Decimal('19128.385920032187633'))
('0x6b2bF5A4AbdFEE08483d0E3B67aBD43A847FdE2E', Decimal('19047.747234159'))
('0x8d5bdA5DbEFC6ca85C2FdB7086fcf0ab168411B8', Decimal('19039.33312131299609665'))
('0xaf8BaBD4E4765cFF1ba9D9Bcd0e822fe7c1D1c03', Decimal('18836.1703770683280099'))
('0x0EE93C20673c19048F7C5EFFBfAbe7DCb5c6d8de', Decimal('18746.73326879369566'))
('0x7787B8B7Bbd438fA8Ec8678A831eCbc3677D7811', Decimal('18633'))
('0x6D9F50Efd160fa34BD2766352EFc70cE0dE9Ab9B', Decimal('18305.294023263'))
('0x3AFf854716834A67D515ff4A5001de51248D573C', Decimal('18267.124888304'))
('0x9c6a2d027Db0d014D2b4FB2876d520EA2ACBe430', Decimal('18162.698303'))
('0x7B1218B0251d6dD5EaE74516515aDAD89D798287', Decimal('17667.737389610934419482'))
('0x767059DB4F461B6338F132b5A2324fF79B562948', Decimal('17444.6424197787937858'))
('0xa693B4f552b7094A5Db9bBc26EB8a583A3EF6b37', Decimal('17361.966617736'))
('0x7FCd8f89e7D4f2DaF1acEBc623e5511E7c4c2041', Decimal('17329.8612014'))
('0x6C52DfaEBB974FAC1f418A4643C8a5d2A01a7e32', Decimal('17291.854627476964204758'))
('0x4b9836424b097a0ed5950A667e96190b3350d334', Decimal('17214.374677603'))
('0xa6Ba541A7559E1a798b7D75eb3f45f9F97bCc26F', Decimal('17208.27389800273003'))
('0x3935051118eB5D5676BBE90b79f16e2588a24Fb3', Decimal('17101.57843500372579'))
('0x0E23950858F1033C605A9Ccc8E2FCD56352ef069', Decimal('16971.69004693762507034'))
('0xA74CDD2DDA8eCc1A36eF0e7C1623b3e694DF1349', Decimal('16881.178819982'))
('0xD60cB4Ca87635559c088eC2fd5699dFe7db0464C', Decimal('16551.00842042792344777'))
('0x56749dF1781B5EcF6DEbA0A4deaAC6D9c37D4969', Decimal('16445'))
('0x8879481b3468Ca14d7Eb52BC7bC123b26E8f462F', Decimal('16429.4395656008250632'))
('0xc2f91E3E3BA33E1e6E4679787E2832F714ead338', Decimal('16173.390682174'))
('0xAB7990A80D48F4044b6D53126F73f256fF82E4Ce', Decimal('16125.1376818116577225'))
('0xABF3C03A21bbD4d6c86742882e2c3deB2C7F7f30', Decimal('16077.5692144'))
('0xF9b191402E3ecb83bf5709f7aCceD04Ca6ec16dd', Decimal('16041.581776079'))
('0xd2638DBEa9F07E82881eF62Cedf4e0e699719D0a', Decimal('16015.24490669'))
('0xAF71E4770c7050Cc83D7F401BFfab0111Ba42198', Decimal('15872.841746933'))
('0xFC2f6eF11c2c5660Dc3570e99d402A40bC18e284', Decimal('15816.2159344'))
('0xb9B93b31E93e411186A7fAf0Dac7c95422e65251', Decimal('15781.931379'))
('0xd3BfCe32c09bCA1EEb5a72cbfCe515324825B250', Decimal('15711.003906605'))
('0xfd7e5ac6e1632317C8F59fD66C09C7930337F05e', Decimal('15681.638787403502019'))
