ADDRESS, HALO, VET, DBET, VTHO, HXRO, HST, EVED, ZRX, PEG, OMG, USDC, BAT, BTC, FLASH, HETH, FCT, uDOO
0x8e776cF7cBd9b7D915d73bcEeF22C3978636F43E, 2500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0xA5cCA3429Cb88e1c7b5Fd85D358E1E2452f1EDDf, 511281132224205250371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x14b61B1f23D3883DCFE020e6edcbA1976eAfbDAF, 123000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x787009de4d5A70093A7B25E456B4A912bfefdED0, 1104872671848591702523, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0xB94fd645918e91013F24786d3041d2F3744779eD, 7500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0xB3863875eEF4Dd820CF81398912b1965E22Bf1E0, 7500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x19EC50150045189FeF1595f7F31a0D1e9808a4F3, 7500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0xD63Dba0717ff0c9864393F7498A6097CB43bBdAE, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x9a41D253bA6b3c085B6d22E7AE4Bf923C87F0DbC, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x672c4647dC32b45A1a033d2fd35597fcbb4769CF, 500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x28c1B1c2DbecFE8aE654C57Dfcd14F43c35c9032, 1000000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x40A7c709247a5d4bC519397E3597ae52Ab104732, 500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0xCCb8F14BDC74f89bf13DE9F7D48b948C4486Acf2, 7500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x57334ea6d8Fb769D8e35c164b2eE92dc64B654e1, 1000000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x0cC165168E0a4C0EDE9D53E95c7b7342459BF62F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0xC8016C038684607F6815AbDa9Fd0D4d920CBA11E, 58222146834173196210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x2C255256BAe553d0dF9a927CC255958Ed972B9cB, 1000000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0xE28B7adB2f963a659AC0F58c5bF2454451D1Af28, 1000000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x6f305822F480B6b43BbA8fcF8a790E0B081C8068, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0xE4B2F3dE017128E4Ee1d47338c8058E80c1Ce774, 500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x2296875D286e029024A9945cc0b2DaCA3793928d, 500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x07D26926DD4b6c04C58Ffb603dA8D32cFa1c9146, 7500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0xc31121Bc043859c3e219Cdf7A71B4C37F227667a, 2500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0xaEbe2f5b1eb24B5C633bA6032630812daa0ed346, 500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x00D96383058D9d4C9Fe863030Cc32Bc963361f68, 500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x8aaAd4C59ec6aAD34E3000ce50c05Fc87d577ab0, 1000000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0x240FABDFE42474351b91B02b64844C5e88a3Dd0F, 500000000000000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
